0 (174, 287) (484, 173)
10 (151, 224) (521, 252)
20 (183, 216) (506, 237)
30 (174, 268) (450, 240)
40 (281, 263) (472, 229)
50 (276, 276) (474, 225)
60 (148, 262) (494, 295)
70 (211, 223) (490, 289)
80 (213, 218) (499, 213)
90 (292, 260) (478, 72)
100 (282, 309) (502, 138)
110 (332, 274) (500, 250)
120 (215, 254) (519, 246)
130 (151, 238) (458, 227)
140 (208, 27) (465, 300)
150 (221, 141) (487, 256)
160 (214, 233) (494, 251)
23 (192, 203) (505, 229)
44 (290, 270) (471, 215)
87 (295, 198) (448, 188)
111 (326, 276) (503, 246)
165 (151, 212) (486, 246)
175 (209, 204) (444, 201)
197 (164, 199) (500, 180)
242 (253, 216) (406, 252)
275 (157, 329) (368, 59)
314 (177, 240) (380, 219)
0 (179, 269) None
3 (186, 258) None
6 None None
9 (159, 218) None
12 None None
15 (148, 210) None
18 (162, 205) None
21 (189, 200) None
24 (185, 215) None
27 (179, 244) None
30 (173, 245) None
33 (170, 245) None
36 (189, 217) None
39 (217, 200) None
42 (296, 264) None
45 (290, 266) None
48 (285, 266) None
51 (276, 265) None
54 (237, 274) None
57 (169, 253) None
60 (141, 253) None
63 (147, 244) None
66 (191, 209) None
69 (207, 205) None
72 (209, 206) None
75 (206, 206) None
78 (199, 206) None
81 (226, 211) None
84 (257, 202) None
87 (292, 200) None
90 (292, 251) None
93 (282, 295) None
96 (258, 312) None
99 (279, 307) None
102 (294, 287) None
105 (329, 285) None
108 (348, 286) None
111 (331, 277) None
114 (313, 269) None
117 (297, 269) None
120 (213, 254) None
123 (162, 247) None
126 (140, 252) None
129 (147, 220) None
132 (161, 145) None
135 (169, 63) None
138 (183, 40) None
141 (222, 49) None
144 (233, 89) None
147 (238, 147) None
150 (221, 136) None
153 (238, 159) None
156 (252, 262) None
159 (232, 249) None
